iter	RMSE
0	0.4904151581
1	0.4842983266
2	0.4779038789
3	0.4725124518
4	0.4660907226
5	0.4603696698
6	0.4547231944
7	0.4500538112
8	0.4459381318
9	0.4418587947
10	0.4370353009
11	0.4331242524
12	0.4289567383
13	0.4244764664
14	0.4200975331
15	0.4161790268
16	0.4111573502
17	0.407113713
18	0.4036347131
19	0.3993613641
20	0.3962363586
21	0.3917613031
22	0.3887103744
23	0.3856992192
24	0.3821249212
25	0.3792938755
26	0.3767065532
27	0.3738958539
28	0.370633144
29	0.3678569226
30	0.3646810376
31	0.3617504026
32	0.359056767
33	0.3561673804
34	0.353829301
35	0.3503782548
36	0.3473008655
37	0.3447622705
38	0.3430455069
39	0.3416066485
40	0.3389280536
41	0.3367554383
42	0.3351012052
43	0.3327725113
44	0.3305312454
45	0.3291800725
46	0.3272765532
47	0.3253965339
48	0.3235422376
49	0.3214324286
50	0.3189209722
51	0.3166942542
52	0.3148450782
53	0.3127297493
54	0.310438638
55	0.3087007261
56	0.307039741
57	0.304994519
58	0.3035320705
59	0.3016139712
60	0.3001613613
61	0.2984107523
62	0.2971206653
63	0.2952898374
64	0.2940970425
65	0.2924125752
66	0.2908647882
67	0.2895997613
68	0.2877300916
69	0.2866014828
70	0.2852222064
71	0.2831481313
72	0.281948835
73	0.2809479638
74	0.2796062385
75	0.2785430041
76	0.2771440336
77	0.2762589098
78	0.2753459814
79	0.2737887465
80	0.2725070718
81	0.2715322856
82	0.2708812143
83	0.270142187
84	0.2693877987
85	0.2680043765
86	0.2671081374
87	0.266455494
88	0.2655813419
89	0.2649941761
90	0.2636867604
91	0.2623497902
92	0.2617718672
93	0.2606269452
94	0.2597702614
95	0.2587467367
96	0.2579083041
97	0.2567543735
98	0.2563224316
99	0.2553844677
100	0.2542519354
101	0.253624838
102	0.2530578204
103	0.252405475
104	0.2514888945
105	0.2505052342
106	0.2495798986
107	0.249201991
108	0.2482452805
109	0.2474106828
110	0.2466002109
111	0.2460388847
112	0.2455424363
113	0.2444580702
114	0.2436750126
115	0.2431794428
116	0.2421424343
117	0.2414517136
118	0.2406884984
119	0.2398646428
120	0.2393368919
121	0.2392258193
122	0.2383088827
123	0.2376803071
124	0.2368600512
125	0.2361422553
126	0.2355914508
127	0.2348229321
128	0.2339361103
129	0.2331194889
130	0.2322425596
131	0.231893572
132	0.2306143523
133	0.2299669049
134	0.2291058884
135	0.2286559917
136	0.2282629723
137	0.2278032176
138	0.2268655315
139	0.2263806026
140	0.2255383752
141	0.2251515074
142	0.2244737405
143	0.2236560534
144	0.2226657565
145	0.2222854223
146	0.2218165729
147	0.2211603288
148	0.220687407
149	0.220185887
150	0.219886508
151	0.2193530187
152	0.2191894242
153	0.2190954344
154	0.2184897826
155	0.2178913719
156	0.2170516711
157	0.2162425976
158	0.215812588
159	0.2149667729
160	0.2146178478
161	0.2139638186
162	0.2135658701
163	0.2127612325
164	0.2123383593
165	0.211960902
166	0.2111797759
167	0.2103484504
168	0.2100606734
169	0.2097526235
170	0.2087916933
171	0.2083062466
172	0.207998924
173	0.2074720333
174	0.2065701375
175	0.2059252856
176	0.2056166436
177	0.2052877622
178	0.2049311902
179	0.2044879031
180	0.2039585151
181	0.2034468198
182	0.203086771
183	0.2025607683
184	0.2022849117
185	0.2018246036
186	0.2013178798
187	0.2006585484
188	0.2004028251
189	0.1995352321
190	0.19948106
191	0.1990574484
192	0.1984311846
193	0.1978039135
194	0.196740872
195	0.1963490699
196	0.1960638125
197	0.1953330376
198	0.1946642161
199	0.1939983952
200	0.1936931078
201	0.1927855423
202	0.1922968619
203	0.1919131567
204	0.1911986089
205	0.1907051581
206	0.1904168009
207	0.1896918093
208	0.1892480458
209	0.1888310275
210	0.1885877306
211	0.1881325239
212	0.1876242681
213	0.1869698055
214	0.1866986375
215	0.1863837884
216	0.1858354393
217	0.1848870403
218	0.1843929398
219	0.1840268742
220	0.1835162202
221	0.1830224037
222	0.1826593001
223	0.1822878053
224	0.1816899274
225	0.1812575114
226	0.1810524618
227	0.1804076788
228	0.1799898154
229	0.1794501338
230	0.1790714179
231	0.1786813371
232	0.178124958
233	0.1775489086
234	0.1772756824
235	0.1766420729
236	0.1763090656
237	0.175592612
238	0.1750622708
239	0.1748243143
240	0.1744874402
241	0.1741672031
242	0.1735510196
243	0.1731319785
244	0.1728504293
245	0.1725626072
246	0.1722997604
247	0.1716199887
248	0.1712628904
249	0.1708580363
250	0.1703933024
251	0.1697945138
252	0.1693244924
253	0.169083209
254	0.1687584805
255	0.1682509987
256	0.1679790437
257	0.1675145542
258	0.1669637242
259	0.1664964387
260	0.1660832063
261	0.1655496789
262	0.1650242512
263	0.1646447487
264	0.1642437745
265	0.1638868351
266	0.1633871033
267	0.1627995724
268	0.1623885886
269	0.1620761287
270	0.1617768001
271	0.1612954776
272	0.160910058
273	0.1605454845
274	0.1601232089
275	0.1596749928
276	0.1592689592
277	0.15891641
278	0.1587659797
279	0.1585953787
280	0.1579570071
281	0.1576718774
282	0.1574028096
283	0.1570345743
284	0.1564760284
285	0.1560529146
286	0.1557815429
287	0.1553279744
288	0.1548856756
289	0.1544057042
290	0.154007955
291	0.153513162
292	0.1529305098
293	0.1527316445
294	0.1522602656
295	0.1518971075
296	0.1517412564
297	0.1511860328
298	0.1508328659
299	0.1503609783
300	0.1499500512
301	0.1494965318
302	0.149164143
303	0.148550137
304	0.1482075265
305	0.147769718
306	0.1473614494
307	0.147074562
308	0.1467821843
309	0.1463824944
310	0.1461809718
311	0.1457298689
312	0.1456002936
313	0.1454745922
314	0.1452641045
315	0.1448756663
316	0.1446104394
317	0.1443946537
318	0.1441044611
319	0.1438938028
320	0.1435811048
321	0.1433788991
322	0.1432804776
323	0.1429190997
324	0.1425402583
325	0.1423775649
326	0.1419838818
327	0.141753798
328	0.1415597211
329	0.1411971787
330	0.1410589543
331	0.1408740901
332	0.1406292651
333	0.140424636
334	0.1401812446
335	0.1400485128
336	0.139867327
337	0.1396709062
338	0.1396322186
339	0.1392213038
340	0.1390328807
341	0.1387103398
342	0.1384997489
343	0.13820358
344	0.1379311478
345	0.137713821
346	0.137534698
347	0.1372538124
348	0.1369061997
349	0.1365594292
350	0.1362160274
351	0.1360462699
352	0.1358036524
353	0.1353958566
354	0.1351629271
355	0.1349855009
356	0.1348838951
357	0.134572509
358	0.1342035804
359	0.1339815945
360	0.1338907743
361	0.1335923279
362	0.1334512496
363	0.1332407967
364	0.1331279285
365	0.1327582171
366	0.1324198435
367	0.1321607297
368	0.1318450547
369	0.1315584622
370	0.1311854217
371	0.1311184844
372	0.1308277566
373	0.130604476
374	0.130427097
375	0.1302426836
376	0.1301741407
377	0.1299483754
378	0.1296571187
379	0.1293876427
380	0.1289939507
381	0.1287398416
382	0.1284193244
383	0.1281933596
384	0.1276777899
385	0.1274728261
386	0.1272351516
387	0.1269349166
388	0.1266224814
389	0.1263063689
390	0.1260373921
391	0.1256584101
392	0.1252470241
393	0.1248382611
394	0.1247659802
395	0.1245385361
396	0.1243392049
397	0.1241668341
398	0.1238454516
399	0.1236669369
400	0.1234780255
401	0.1232308438
402	0.1230721468
403	0.1228874973
404	0.1228425397
405	0.12269884
406	0.1224917635
407	0.1224404596
408	0.1218710732
409	0.1217356748
410	0.121638355
411	0.1214183152
412	0.1211232103
413	0.1207632216
414	0.1205277954
415	0.1205190373
416	0.1200509917
417	0.1199904091
418	0.1198585293
419	0.1195849551
420	0.1193006801
421	0.1192242743
422	0.1191810848
423	0.1186820293
424	0.1182561953
425	0.1180554492
426	0.1178261374
427	0.1177346089
428	0.1175146849
429	0.1172802662
430	0.117031372
431	0.1165653261
432	0.1162229434
433	0.1159607525
434	0.1155383048
435	0.1153498168
436	0.1149613989
437	0.114704941
438	0.1144485297
439	0.1141721124
440	0.1140931135
441	0.1138968355
442	0.1138119939
443	0.1136762856
444	0.1134219939
445	0.1131942644
446	0.1130099278
447	0.1126646066
448	0.1125282392
449	0.1123964248
450	0.1121185759
451	0.1118961108
452	0.1115930364
453	0.1112097231
454	0.1110704344
455	0.110814947
456	0.1106755444
457	0.1102287834
458	0.1099425136
459	0.1095759029
460	0.1094323951
461	0.1092859115
462	0.1091665321
463	0.1089822568
464	0.1086620879
465	0.1083672417
466	0.1080456878
467	0.1076218865
468	0.1073736657
469	0.1070813819
470	0.106907
471	0.1067411165
472	0.106521831
473	0.106338948
474	0.1059637922
475	0.1057621577
476	0.1054544797
477	0.1051616893
478	0.104861852
479	0.1045706731
480	0.104279765
481	0.1038921771
482	0.1036657339
483	0.1033203966
484	0.103030626
485	0.1029275113
486	0.1025806999
487	0.1023599923
488	0.1021664951
489	0.1020611198
490	0.1019924527
491	0.1019115986
492	0.1018074281
493	0.1015999045
494	0.1011335925
495	0.1010286641
496	0.1007669619
497	0.1006328828
498	0.1005628758
499	0.1002574928
500	0.1002420553
501	0.0999412471
502	0.0996090568
503	0.09945741201
504	0.09916650117
505	0.09888779595
506	0.09857269898
507	0.09832883614
508	0.09815680127
509	0.09812300007
510	0.09796581704
511	0.09772180698
512	0.09757826093
513	0.09747918123
514	0.0974570807
515	0.09714517006
516	0.09699302521
517	0.09668157549
518	0.09647577602
519	0.09604357616
520	0.09602983184
521	0.0958487891
522	0.09559478184
523	0.09527637589
524	0.09507933933
525	0.09478752227
526	0.0946646041
527	0.09448759898
528	0.0941427857
529	0.09400488593
530	0.09379031564
531	0.09376895651
532	0.093711133
533	0.09339600332
534	0.09321612638
535	0.09319360106
536	0.09303529417
537	0.09295876766
538	0.09274311214
539	0.09247767024
540	0.09218656504
541	0.09203487983
542	0.09190077256
543	0.09162411178
544	0.09152810049
545	0.09129241723
546	0.09109805916
547	0.09094537445
548	0.09059091092
549	0.09041089611
550	0.09031875911
551	0.0901528857
552	0.08996835191
553	0.08964807785
554	0.08963516401
555	0.08956188765
556	0.08923081873
557	0.08905556531
558	0.0890460395
559	0.08896219276
560	0.08883886574
561	0.08856974765
562	0.08827729246
563	0.08816473367
564	0.08803892811
565	0.08793035785
566	0.08781090219
567	0.08758667959
568	0.08728329249
569	0.08706055706
570	0.08679899975
571	0.08668759652
572	0.08649849452
573	0.08632552929
574	0.08605805322
575	0.08589979229
576	0.0857067691
577	0.08538419536
578	0.08511980547
579	0.08498335012
580	0.08497449863
581	0.08491607908
582	0.08468510828
583	0.08444613795
584	0.08426334434
585	0.08403951122
586	0.08396656835
587	0.08367990577
588	0.08366051237
589	0.08341709835
590	0.0834003738
591	0.08327717868
592	0.08318107807
593	0.08309906503
594	0.08309147687
595	0.08296208585
596	0.08261751665
597	0.08221651173
598	0.08212095983
599	0.08200834706
600	0.08183320129
601	0.08164140094
602	0.08149750167
603	0.08136410744
604	0.08105501975
605	0.08085410078
606	0.08066933657
607	0.08049137303
608	0.0804032018
609	0.08011459999
610	0.07996421663
611	0.07995727658
612	0.07981725806
613	0.07958098841
614	0.0794853788
615	0.0793213806
616	0.07924860971
617	0.07900698762
618	0.07879581551
619	0.07853579431
620	0.07851964164
621	0.07838650196
622	0.07837353056
623	0.07836550433
624	0.07834815394
625	0.07810324504
626	0.07798113169
627	0.07795167731
628	0.07791645741
629	0.07776961764
630	0.07769199912
631	0.07750195631
632	0.07744645031
633	0.07743869498
634	0.0772136595
635	0.07700747348
636	0.07699892479
637	0.07678928917
638	0.07649306296
639	0.07631300277
640	0.07612815446
641	0.07611741133
642	0.07601051969
643	0.07580456576
644	0.0756675955
645	0.07535457713
646	0.07527250196
647	0.07520610547
648	0.07488259304
649	0.07487271379
650	0.07481026036
651	0.07465076864
652	0.07455573344
653	0.07433547433
654	0.07417767039
655	0.07394341451
656	0.07373493369
657	0.07352187408
658	0.07337972808
659	0.07318060662
660	0.07317229941
661	0.07307779516
662	0.07291622229
663	0.07273355375
664	0.07260411809
665	0.07239981913
666	0.07235457527
667	0.07214463716
668	0.07213668262
669	0.07202026721
670	0.07182901439
671	0.07165679607
672	0.07157140389
673	0.07140122369
674	0.07126455636
675	0.0710074467
676	0.07091889385
677	0.0707460316
678	0.07051500603
679	0.07033521855
680	0.07023916637
681	0.07013849225
682	0.06991927485
683	0.06975851755
684	0.06958941048
685	0.06954646478
686	0.06928507194
687	0.06904549225
688	0.06897415487
689	0.06887968617
690	0.0687615901
691	0.06870104815
692	0.06869133269
693	0.06854255361
694	0.06841167192
695	0.06829531754
696	0.06822198716
697	0.06801811689
698	0.06787818265
699	0.06766063669
700	0.06752185333
701	0.06739903598
702	0.06729910102
703	0.06729260339
704	0.06708409926
705	0.06698326632
706	0.06690197387
707	0.06677193771
708	0.06676020954
709	0.06672124799
710	0.06648455309
711	0.06641003711
712	0.06630733732
713	0.06619764115
714	0.06599407738
715	0.06589355766
716	0.06574937083
717	0.06560593279
718	0.06546519253
719	0.06522049718
720	0.06493840183
721	0.06469652087
722	0.06455154843
723	0.06439521464
724	0.06431324338
725	0.0641440355
726	0.06403956858
727	0.06398311131
728	0.06382676821
729	0.06367192969
730	0.06355496677
731	0.06347074917
732	0.0633745326
733	0.06328017238
734	0.06314579653
735	0.0631409206
736	0.06291911242
737	0.06283574896
738	0.0627432109
739	0.06246595143
740	0.06230175017
741	0.06214370439
742	0.0620476758
743	0.06192536586
744	0.06179853739
745	0.06176368985
746	0.06170057524
747	0.06163256847
748	0.06155049075
749	0.06140500177
750	0.06124276225
751	0.06108233372
752	0.06092313779
753	0.06079976491
754	0.06068415033
755	0.06059594924
756	0.06048711508
757	0.06031207782
758	0.06015281649
759	0.05997837153
760	0.05997445846
761	0.05996961782
762	0.05978880665
763	0.05974966979
764	0.05957482299
765	0.0595097184
766	0.05935598265
767	0.05924558698
768	0.05909453013
769	0.05892464188
770	0.05884239225
771	0.0586898779
772	0.05866362455
773	0.05859983656
774	0.05854147676
775	0.05839928096
776	0.05831094357
777	0.05828177349
778	0.05818468693
779	0.05814345135
780	0.05813589282
781	0.05813117719
782	0.05794581095
783	0.05781319729
784	0.05771318167
785	0.05764967491
786	0.05754945381
787	0.05744389008
788	0.05730347582
789	0.05718753469
790	0.05710762986
791	0.05694737207
792	0.05675369321
793	0.05668281974
794	0.05666570096
795	0.05657137686
796	0.05647073082
797	0.05641321037
798	0.05631344653
799	0.05614595179
800	0.05604187995
801	0.05595840475
802	0.05589151793
803	0.0558748975
804	0.05583891035
805	0.05576861753
806	0.05570768399
807	0.05562836364
808	0.05547382058
809	0.0554674189
810	0.05533749908
811	0.05524199693
812	0.05516165472
813	0.05503661342
814	0.05497141052
815	0.05486035073
816	0.05477053795
817	0.05474369562
818	0.05474009904
819	0.05467900537
820	0.05460773351
821	0.05456100497
822	0.05452129252
823	0.05434914373
824	0.05420768385
825	0.05404401923
826	0.0539521765
827	0.05384219201
828	0.05367974339
829	0.05364854199
830	0.05350949803
831	0.0533967889
832	0.05325796426
833	0.0531410999
834	0.05303250589
835	0.05288816786
836	0.05276789998
837	0.05270392602
838	0.05254768994
839	0.05254022013
840	0.05253599032
841	0.05236072084
842	0.05228318894
843	0.05220370561
844	0.05206680373
845	0.05200699489
846	0.05194825391
847	0.05185549455
848	0.0517212794
849	0.05167702906
850	0.0515060497
851	0.05148746063
852	0.05142161379
853	0.05130615332
854	0.05125713063
855	0.05122098181
856	0.05105086386
857	0.05095265818
858	0.05078501775
859	0.05073250526
860	0.05058970879
861	0.05046125875
862	0.05032293814
863	0.05021631254
864	0.05012005172
865	0.04997709012
866	0.04984975014
867	0.04980623434
868	0.0496783933
869	0.0496101064
870	0.04950261116
871	0.04942874961
872	0.04928653848
873	0.0491986449
874	0.04917738109
875	0.04909475715
876	0.04899851806
877	0.0488476012
878	0.04876029725
879	0.04872381989
880	0.04865775844
881	0.04855363334
882	0.04845485338
883	0.04836699647
884	0.04829696256
885	0.04819478485
886	0.04810996231
887	0.04802568954
888	0.04788723202
889	0.04775974577
890	0.0477428086
891	0.04768085502
892	0.04761981553
893	0.04752196981
894	0.0475164286
895	0.04742763363
896	0.04738855401
897	0.04732105924
898	0.04725741159
899	0.04717109586
900	0.04716775091
901	0.04708593128
902	0.04695596116
903	0.04687802458
904	0.04683860218
905	0.04672805655
906	0.04664660625
907	0.04657961748
908	0.04657752498
909	0.04657536698
910	0.04656785416
911	0.04648239735
912	0.04647755222
913	0.04639254707
914	0.04629681313
915	0.04616853119
916	0.0460867738
917	0.04607088818
918	0.04604924323
919	0.04600807027
920	0.04599993734
921	0.04596042201
922	0.04584428124
923	0.04573821971
924	0.04566309011
925	0.04554584486
926	0.04543236269
927	0.04527408744
928	0.04518847123
929	0.04508903202
930	0.04502983702
931	0.04498304969
932	0.04496757463
933	0.04490709652
934	0.0448288403
935	0.04473871913
936	0.04462408405
937	0.04460138762
938	0.04456083882
939	0.04448860789
940	0.04438183131
941	0.04427890406
942	0.04421378467
943	0.04414602519
944	0.04409987133
945	0.04402043476
946	0.04398140262
947	0.04388975435
948	0.04386506194
